class_id,boxes_with_size,w_p10,w_p50,w_p90,h_p10,h_p50,h_p90,area_p10,area_p50,area_p90
0,7162,0.0920138888888889,0.11767578125,0.15538194444444445,0.08528645833333333,0.11618459181460875,0.1615832918533267,0.008411438598632814,0.01368652980147679,0.024029290466849117
1,279,0.11558133856442855,0.19957983193277312,0.3199949799196788,0.08324926110149941,0.19323843416370107,0.3861328125000002,0.012464309373544154,0.03741198881172839,0.10854406148890056
2,960,0.022786458333333332,0.0642046697287839,0.1845928268235115,0.021953432098580267,0.06520708078679094,0.21961295147314785,0.0005342722555934825,0.0037787282761592078,0.03364466209748201
3,5427,0.3680883639545057,0.4348958333333333,0.5005685819462229,0.09768926056338029,0.134765625,0.19168218366483286,0.03845917124807098,0.058273719879518064,0.08933414490724886
4,556,0.1035344622461929,0.18188868648093662,0.30132879273504276,0.08452690972222222,0.18213765929319803,0.3455280226763774,0.008975534781174813,0.03229542949204558,0.09471221594533756
5,1000,0.13378796523876405,0.21927696138013744,0.32158686972191797,0.15431712674476572,0.35139973958333337,0.5667930760749724,0.023805254605152617,0.07351619926697531,0.17316820044939268
6,1247,0.09520098999129678,0.18098958333333334,0.2797419414370079,0.07955698714549814,0.184375,0.4011248746657755,0.008169433600930401,0.03366796875,0.10333281263290442
7,2483,0.0595703125,0.155,0.26952091831894515,0.05181703179805647,0.14270833333333333,0.32430178612850846,0.0035356056684726894,0.02110607693846459,0.0787508078688515
8,2580,0.01653543307086614,0.03993055555555555,0.16357011554621845,0.014103244084865588,0.034702324100604906,0.1679703846710498,0.0002433688145455266,0.0013753991740693193,0.026671315279395265
9,2203,0.029296875,0.1156368657231619,0.3037969335429396,0.028385737320433892,0.12537947783849424,0.456823127683779,0.0008572292242143581,0.016845703125,0.09234826380008694
10,2476,0.0390625,0.08739148468633501,0.3298611111111111,0.0480989279564517,0.10117799493590758,0.4355058039593487,0.0020457408490619673,0.008753528729075533,0.1321853198571598
11,4842,0.041666666666666664,0.09292796171400287,0.18348000598324693,0.023292165538781887,0.05342226808176101,0.12116724308300403,0.0015984685272871352,0.004414845544209317,0.016997526041666676
12,226,0.1286892361111111,0.26843854728475397,0.36941927583845385,0.09461805555555555,0.28126956181533647,0.6943108974358975,0.011868248456790124,0.07237404786639742,0.23983950643159227
13,4655,0.04637539847372489,0.11793020457280386,0.22575502717907786,0.02951814928425358,0.09513888888888888,0.24721333333333334,0.0017131438078703707,0.010589763023088521,0.05261702672927629
